Step,PushCube-v1__bc__2__1735553176 - eval/success_once,PushCube-v1__bc__0__1735552266 - eval/success_once,PushCube-v1__bc__1__1735545008 - eval/success_once,mean,std
2,0,0,0,0,0
9,0.34,0.33,0.5,0.39,0.09539392
16,0.39,0.47,0.59,0.483333333,0.100664459
23,0.37,0.39,0.54,0.433333333,0.092915732
30,0.38,0.4,0.59,0.456666667,0.115902258
37,0.34,0.61,0.63,0.526666667,0.161967075
44,0.25,0.29,0.75,0.43,0.27784888
51,0.12,0.3,0.38,0.266666667,0.133166562
58,0.44,0.38,0.94,0.586666667,0.307462735
65,0.01,0.36,0.57,0.313333333,0.282901632
