Step,PushCube-v1__ppo__1__1735568838 - eval/success_once,PushCube-v1__ppo__0__1735568211 - eval/success_once,PushCube-v1__ppo__2__1735567254 - eval/success_once,mean,std
0,0,0,0,0,0
153600,0,0,0,0,0
307200,0,0,0,0,0
460800,0,0,0,0,0
614400,0.5,0.239999995,0.140000001,0.293333332,0.185831465
768000,0.859999955,0.719999969,0.859999955,0.813333293,0.08082903
921600,1,0.839999974,0.98999995,0.943333308,0.089628866
1075200,1,0.979999959,0.98999995,0.98999997,0.010000021
1228800,1,1,1,1,0
1382400,1,1,1,1,0
1536000,1,1,1,1,0
